Sentence,Sentiment,processed_text,sentiment_text
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",neutral,"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",
"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",positive,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",
The original contract was signed last summer .,neutral,The original contract was signed last summer .,
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",neutral,"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",
$SPY c'mon bulls buy DIPS!,positive,$SPY c'mon bulls buy DIPS!,
"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",neutral,"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",
"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .",neutral,"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 .",
$FB & $TSLA cracking lower early. $short #correction #stocks,negative,$FB & $TSLA cracking lower early. $short #correction #stocks,
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,
"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",neutral,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",
Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,neutral,Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,neutral,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,
"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",neutral,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",
"Britain's FTSE steadies, supported by Dixons Carphone",positive,"Britain's FTSE steadies, supported by Dixons Carphone",
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",positive,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",neutral,"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",negative,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",
The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,
HK Ruokatalo 's target is to know the consumers .,neutral,HK Ruokatalo 's target is to know the consumers .,
$SBUX getting sold here.,negative,$SBUX getting sold here.,
Strategic and operational business information is objectively reported .,neutral,Strategic and operational business information is objectively reported .,
With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .,positive,With this acquisition Panostaja Oyj further expands its business area specialising in digital printing .,
"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",positive,"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",
Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,neutral,Net sales in 2006 totaled EUR 302 million and the operating margin was 16 % .,
"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",neutral,"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",positive,"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon .",
The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,
Performance in the second half of 2009 exceeded expectations .,positive,Performance in the second half of 2009 exceeded expectations .,
$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,negative,Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon,
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",neutral,"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",
$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,negative,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,neutral,The second-quarter net sales are expected to be on par with the first quarter of 2009 .,
"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",neutral,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,neutral,L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,
bot $AMZN 600 weekly calls here @ 5.93,positive,bot $AMZN 600 weekly calls here @ 5.93,
$BBRY Ready for Take OFF!,positive,$BBRY Ready for Take OFF!,
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",negative,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",
"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",neutral,"After the sale , Savcor Group Ltd will comprise Savcor ART , a corporate function and an investment in Cencorp Corporation .",
Amazon's grocery deal with Morrisons is only the beginning,positive,Amazon's grocery deal with Morrisons is only the beginning,
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,negative,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,positive,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,The event can be followed on-line via Orion 's Finnish homepage at as well as via the Kauppalehti Live web service at .,
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",positive,"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",
$IACI http://stks.co/tJU Looks good on the weekly chart.,positive,$IACI Looks good on the weekly chart.,
Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,positive,Viking Line head Jan Kaarstroem told TT that his company 's ferries were well equipped to handle ice and that all the passengers were safe .,
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,
$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,
The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .,neutral,The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .,
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",neutral,"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",neutral,"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",
The insurer anticipates its share in Nordea 's net profit to be significant .,positive,The insurer anticipates its share in Nordea 's net profit to be significant .,
"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",positive,"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million",
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",positive,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",positive,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",
"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",
"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",neutral,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",
"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",
Elcoteq 's revenues in 2007 were approximately EUR 120 million .,neutral,Elcoteq 's revenues in 2007 were approximately EUR 120 million .,
"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",positive,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",
`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive,`` Our design team has long admired Marimekko 's vivid patterns and colors .,
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",negative,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,positive,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,
"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .",neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said .",
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neutral,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",
Do it for me' trend underpins UK sales growth at Kingfisher,positive,Do it for me' trend underpins UK sales growth at Kingfisher,
"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .",neutral,"Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .",
"According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .",neutral,"According to statistics by the Finnish Maritime Administration , shipping did not increase much in January-August 2009 , however .",
"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",neutral,"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",
The fund at fair value will increase correspondingly .,positive,The fund at fair value will increase correspondingly .,
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",
The inventor was issued U.S. Patent No. .,neutral,The inventor was issued U.S. Patent No. .,
"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .",neutral,"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising .",
This is the first time Finnair has been awarded an agreement with the UK government .,positive,This is the first time Finnair has been awarded an agreement with the UK government .,
"Following the move , Stora Enso holding in NewPage will remain unchanged .",neutral,"Following the move , Stora Enso holding in NewPage will remain unchanged .",
expecting  $SPY to close above 205.20 $AAPL,positive,expecting $SPY to close above 205.20 $AAPL,
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",neutral,"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",
"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .",neutral,"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .",
AstraZeneca suffers setback after drug fails to treat eye cancer,negative,AstraZeneca suffers setback after drug fails to treat eye cancer,
Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,neutral,Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .,
`` This could be us .,neutral,`` This could be us .,
`` The trend in the sports and leisure markets was favorable in the first months of the year .,positive,`` The trend in the sports and leisure markets was favorable in the first months of the year .,
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",positive,"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",
Berkshire applies to boost Wells Fargo stake above 10 percent,positive,Berkshire applies to boost Wells Fargo stake above 10 percent,
"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",neutral,"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",
The company did not disclose the price of the acquisition .,neutral,The company did not disclose the price of the acquisition .,
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,
"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",neutral,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",
"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+ñliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .",neutral,"M-real Corporation Stock Exchange Release 27 August 2009 at 3.15 pm M-real has received the EUR 190 million cash payment from Sappi M-real Corporation , a part of Mets+ñliitto Group , divested its Graphic Papers business to Sappi Limited at the end of 2008 for EUR 750 million .",
The amendment will not incur additional costs .,neutral,The amendment will not incur additional costs .,
The mill has long traditions and holds an established position in the markets .,positive,The mill has long traditions and holds an established position in the markets .,
"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",positive,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive,"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",
Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,positive,Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,
About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,
"The company operates worldwide and employs in total approximately 47,000 persons .",neutral,"The company operates worldwide and employs in total approximately 47,000 persons .",
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral,Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",
"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in",positive,"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in",
"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",positive,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",
GE is building the facility with wind power developer Invenergy Wind LLC .,neutral,GE is building the facility with wind power developer Invenergy Wind LLC .,
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",negative,"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",
"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi",neutral,"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi",
The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,neutral,The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,
"Previously , it projected the figure to be slightly lower than in 2009 .",neutral,"Previously , it projected the figure to be slightly lower than in 2009 .",
"The total value of the project is about EUR53m , including the plots that will be transferred to Atria .",neutral,"The total value of the project is about EUR53m , including the plots that will be transferred to Atria .",
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,
"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .",neutral,"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .",
Arm slammed by handset sales outlook,negative,Arm slammed by handset sales outlook,
"Britain's FTSE gains, Land Securities up after dividend hike",positive,"Britain's FTSE gains, Land Securities up after dividend hike",
Builder Persimmon hails 6% rise in house sales,positive,Builder Persimmon hails 6% rise in house sales,
Most of the dividend will go to the Grimaldi family .,neutral,Most of the dividend will go to the Grimaldi family .,
"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",neutral,"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",
"Jun. 14 , 2009 ( AOL Weblogs delivered by Newstex ) -- Looks like the E71 is about to be upstaged as Nokia 's ( NYSE : NOK ) premier business-class smartphone -- someone in Espoo 's just hit the corporate YouTube account with this promo video for an E72 .",neutral,"Jun. 14 , 2009 ( AOL Weblogs delivered by Newstex ) -- Looks like the E71 is about to be upstaged as Nokia 's ( NYSE : NOK ) premier business-class smartphone -- someone in Espoo 's just hit the corporate YouTube account with this promo video for an E72 .",
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,
"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",neutral,"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",
"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",negative,"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA",
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral,"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",
"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",neutral,"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",
France raises concerns over proposed LSE-Deutsche Boerse deal,negative,France raises concerns over proposed LSE-Deutsche Boerse deal,
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",
"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral,"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",
The expansion will be delivered in the fourth quarter of 2006 .,neutral,The expansion will be delivered in the fourth quarter of 2006 .,
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,neutral,Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 .,
"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",positive,"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",positive,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",
$FIO won't stay down,positive,$FIO won't stay down,
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",neutral,"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",
The court found TelecomInvest 's arguments convincing .,positive,The court found TelecomInvest 's arguments convincing .,
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,
CompaniesHome Retail trims gains but is considered 'in play',positive,CompaniesHome Retail trims gains but is considered 'in play',
